City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,meadow lake,34.8014,-106.5436,3.05,40,0,2.94,US,1698760794
249,i-n-salah,27.1935,2.4607,37.35,9,10,2.61,DZ,1698760794
250,cabo san lucas,22.8909,-109.9124,24.31,87,0,4.12,MX,1698760721
251,agadez,19.75,10.25,32.38,11,4,5.0,NE,1698760795
252,bayanaul,50.7889,75.6956,1.08,91,93,5.91,KZ,1698760795
253,aykhal,66.0,111.5,-22.59,99,99,3.22,RU,1698760795
254,kapuskasing,49.4169,-82.4331,-5.95,93,100,2.06,CA,1698760795
255,itoman,26.1247,127.6694,24.01,80,20,4.63,JP,1698760795
256,tazovsky,67.4667,78.7,-15.81,96,100,2.94,RU,1698760795
257,yuzhno-kurilsk,44.0306,145.8556,10.76,85,60,3.81,RU,1698760796
258,port blair,11.6667,92.75,28.05,80,100,5.3,IN,1698760796
259,kurtamysh,54.9103,64.4319,-0.8,74,100,1.79,RU,1698760796
260,qingdao,36.0986,120.3719,17.78,82,0,4.0,CN,1698760796
261,talnakh,69.4865,88.3972,-16.55,97,98,2.3,RU,1698760796
262,kodinsk,58.6881,99.1844,-11.99,58,0,1.92,RU,1698760796
263,kawambwa,-9.7915,29.0791,30.18,32,97,2.51,ZM,1698760797
264,tolanaro,-25.0319,46.9987,22.04,88,75,2.06,MG,1698760797
265,as sulayyil,20.4607,45.5779,33.14,25,97,4.64,SA,1698760797
266,sarykemer,43.0,71.5,10.71,60,46,3.29,KZ,1698760797
267,novo aripuana,-5.1206,-60.3797,32.93,46,100,2.07,BR,1698760797
268,pontianak,-0.0333,109.3333,25.99,88,20,1.03,ID,1698760797
269,perros-guirec,48.8145,-3.4396,15.24,90,100,3.09,FR,1698760798
270,toamasina,-18.1667,49.3833,29.0,70,20,4.63,MG,1698760798
271,polillo,14.7122,121.9392,27.44,77,98,9.13,PH,1698760798
272,port macquarie,-31.4333,152.9167,16.61,67,72,4.19,AU,1698760704
273,dzhalagash,45.0833,64.6667,9.35,52,100,2.66,KZ,1698760798
274,cuajinicuilapa,16.4667,-98.4167,24.05,90,100,1.55,MX,1698760798
275,ubatuba,-23.4339,-45.0711,25.98,89,98,0.83,BR,1698760799
276,kaiapoi,-43.3783,172.6401,13.72,96,100,3.6,NZ,1698760799
277,nola,40.922,14.5329,21.33,63,82,4.92,IT,1698760799
278,iskateley,67.6803,53.1512,-10.55,97,100,2.68,RU,1698760799
279,trebic,49.2149,15.8817,10.92,83,100,5.14,CZ,1698760799
280,kigoma,-4.8769,29.6267,28.33,61,20,5.14,TZ,1698760800
281,lanzhou,36.0564,103.7922,15.99,24,0,1.99,CN,1698760800
282,niquelandia,-14.4739,-48.4597,36.55,26,96,2.66,BR,1698760800
283,buka,40.8108,69.1986,13.0,75,64,0.52,UZ,1698760800
284,tabou,4.423,-7.3528,28.41,75,32,3.73,CI,1698760801
285,cape coast,5.1053,-1.2466,29.01,70,94,2.87,GH,1698760544
286,papao,-17.75,-149.55,23.82,83,31,10.98,PF,1698760802
287,waajid,3.8096,43.2463,31.35,45,97,2.35,SO,1698760808
288,flying fish cove,-10.4217,105.6791,25.82,83,100,4.63,CX,1698760810
289,severnoye,56.3491,78.3619,-6.68,76,10,4.02,RU,1698760814
290,kone,-21.0595,164.8658,19.59,78,17,2.03,NC,1698760823
291,houghton,47.1219,-88.569,-0.92,88,0,4.63,US,1698760768
292,tadine,-21.55,167.8833,19.08,68,8,3.58,NC,1698760826
293,vilhena,-12.7406,-60.1458,23.12,94,75,3.09,BR,1698760827
294,khandyga,62.6667,135.6,-11.74,97,100,0.9,RU,1698760829
295,mar del plata,-38.0023,-57.5575,13.86,58,75,5.14,AR,1698760613
296,mossel bay,-34.1831,22.146,19.96,77,93,6.86,ZA,1698760832
297,alibag,18.6411,72.8792,31.04,62,5,2.47,IN,1698760833
298,buckingham,51.9997,-0.9878,13.79,88,90,0.45,GB,1698760833
299,chokwe,-24.5333,32.9833,15.74,88,100,3.36,MZ,1698760835
300,nadi,-17.8,177.4167,25.0,83,20,2.57,FJ,1698760603
301,ormara,25.2088,64.6357,27.75,63,0,4.55,PK,1698760836
302,urangan,-25.3,152.9,22.29,78,8,8.69,AU,1698760836
303,timimoun,29.2639,0.231,36.21,10,0,2.06,DZ,1698760839
304,bandarbeyla,9.4942,50.8122,26.58,80,100,6.83,SO,1698760840
305,palmer,42.1584,-72.3287,6.8,76,11,0.45,US,1698760841
306,manokwari,-0.8667,134.0833,26.16,80,92,2.54,ID,1698760842
307,selfoss,63.9331,-20.9971,3.91,66,28,4.63,IS,1698760842
308,sinop,41.7711,34.8709,20.15,60,99,0.67,TR,1698760843
309,fort bragg,35.139,-79.006,14.08,65,100,6.69,US,1698760843
310,rustaq,23.3908,57.4244,28.04,52,41,2.84,OM,1698760843
311,kargasok,59.0556,80.8572,-10.58,91,10,3.13,RU,1698760844
312,broome,42.2506,-75.833,4.12,90,85,1.79,US,1698760844
313,plouzane,48.3833,-4.6167,15.1,88,100,9.77,FR,1698760845
314,haiku-pauwela,20.9219,-156.3051,22.25,81,23,1.97,US,1698760846
315,pizhou,34.3114,117.9503,20.43,41,4,3.45,CN,1698760846
316,batesburg-leesville,33.9101,-81.5373,16.91,75,4,4.92,US,1698760847
317,saint-joseph,-21.3667,55.6167,26.93,80,34,1.69,RE,1698760847
318,new plymouth,-39.0667,174.0833,13.51,79,95,3.16,NZ,1698760813
319,mednogorsk,51.4128,57.595,5.75,91,100,9.93,RU,1698760848
320,kromy,52.6876,35.7667,10.36,87,100,3.91,RU,1698760848
321,micheweni,-4.9667,39.8333,28.17,73,21,3.99,TZ,1698760848
322,barranca,-10.75,-77.7667,19.86,82,100,3.07,PE,1698760847
323,nasiriyah,31.0521,46.261,31.96,17,92,2.16,IQ,1698760849
324,mossendjo,-2.9506,12.7261,22.88,97,100,2.22,CG,1698760849
325,ketchikan,55.3422,-131.6461,4.99,79,100,0.25,US,1698760850
326,orchard mesa,39.043,-108.5523,-0.33,64,0,2.06,US,1698760850
327,la'ie,21.6477,-157.9253,23.01,82,0,1.32,US,1698760850
328,iquique,-20.2208,-70.1431,18.02,66,95,3.19,CL,1698760851
329,lompoc,34.6391,-120.4579,14.77,56,0,4.12,US,1698760851
330,jawf al maqbabah,13.8378,45.8349,25.0,61,60,3.28,YE,1698760852
331,port hedland,-20.3167,118.5667,26.03,89,2,4.12,AU,1698760323
332,pingzhuang,42.0372,119.2889,9.34,38,100,1.17,CN,1698760852
333,amahai,-3.3333,128.9167,26.22,84,99,0.75,ID,1698760853
334,gorontalo,0.5412,123.0595,24.57,85,65,1.03,ID,1698760853
335,hasaki,35.7333,140.8333,16.22,71,100,2.4,JP,1698760853
336,ardestan,33.3761,52.3694,19.86,37,97,4.17,IR,1698760853
337,robertsport,6.7533,-11.3686,28.61,74,59,3.65,LR,1698760854
338,tidjikja,18.5564,-11.4271,37.24,8,7,4.5,MR,1698760854
339,sterling,39.0062,-77.4286,9.53,66,0,2.68,US,1698760799
340,plymouth,41.8334,-70.8328,7.83,63,94,0.45,US,1698760855
341,refahiye,39.9008,38.7667,16.25,46,42,0.33,TR,1698760856
342,lubango,-14.9172,13.4925,30.65,15,7,3.83,AO,1698760856
343,erenhot,43.6475,111.9767,8.16,51,36,2.84,CN,1698760856
344,massawa,15.6097,39.45,31.4,58,91,4.27,ER,1698760857
345,urengoy,65.9667,78.3667,-13.15,94,98,2.41,RU,1698760857
346,puerto deseado,-47.7503,-65.8938,6.3,35,1,2.38,AR,1698760857
347,bodaybo,57.8506,114.1933,-14.83,92,92,1.35,RU,1698760858
348,kavali,14.9167,79.9833,27.05,73,100,3.47,IN,1698760858
349,changuinola,9.4333,-82.5167,25.0,80,63,1.07,PA,1698760858
350,taroudant,30.4703,-8.877,32.03,18,100,5.71,MA,1698760859
351,sorong,-0.8833,131.25,26.99,83,100,3.29,ID,1698760859
352,praia da vitoria,38.7333,-27.0667,20.98,77,20,7.37,PT,1698760859
353,parola,20.8833,75.1167,26.55,36,92,3.31,IN,1698760859
354,touros,-5.1989,-35.4608,30.67,52,16,6.58,BR,1698760860
355,nema,57.5067,50.5011,-1.24,90,100,2.58,RU,1698760860
356,espanola,35.9911,-106.0806,3.11,37,0,0.72,US,1698760809
357,bay city,43.5945,-83.8889,1.12,70,100,3.09,US,1698760617
358,keflavik,64.0049,-22.5624,4.24,70,20,9.26,IS,1698760861
359,al kawa,13.7463,32.4996,37.33,25,99,5.31,SD,1698760861
360,rundu,-17.9333,19.7667,37.7,14,78,2.41,NA,1698760862
361,howrah,22.5892,88.3103,28.0,65,20,0.0,IN,1698760863
362,zunyi,27.6867,106.9072,16.26,69,9,1.71,CN,1698760864
